,EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,JobLevel,JobRole,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition
0,1,51,No,Travel_Rarely,Sales,6,2,Life Sciences,1,1,Healthcare Representative,131160,1.0,11,0,1.0,6,1,0,0,3.0,4.0,2.0,3,3,No
1,2,31,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,2,1,Research Scientist,41890,0.0,23,1,6.0,3,5,1,4,3.0,2.0,4.0,2,4,Yes
2,3,32,No,Travel_Frequently,Research & Development,17,4,Other,3,4,Sales Executive,193280,1.0,15,3,5.0,2,5,0,3,2.0,2.0,1.0,3,3,No
3,4,38,No,Non-Travel,Research & Development,2,5,Life Sciences,4,3,Human Resources,83210,3.0,11,3,13.0,5,8,7,5,4.0,4.0,3.0,2,3,No
4,5,32,No,Travel_Rarely,Research & Development,10,1,Medical,5,1,Sales Executive,23420,4.0,12,2,9.0,2,6,0,4,4.0,1.0,3.0,3,3,No
5,6,46,No,Travel_Rarely,Research & Development,8,3,Life Sciences,6,4,Research Director,40710,3.0,13,0,28.0,5,7,7,7,3.0,2.0,2.0,3,3,No
6,7,28,Yes,Travel_Rarely,Research & Development,11,2,Medical,7,2,Sales Executive,58130,2.0,20,1,5.0,2,0,0,0,1.0,3.0,1.0,3,4,Yes
7,8,29,No,Travel_Rarely,Research & Development,18,3,Life Sciences,8,2,Sales Executive,31430,2.0,22,3,10.0,2,0,0,0,1.0,2.0,3.0,3,4,No
8,9,31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,9,3,Laboratory Technician,20440,0.0,21,0,10.0,2,9,7,8,2.0,4.0,3.0,3,4,No
9,10,25,No,Non-Travel,Research & Development,7,4,Medical,10,4,Laboratory Technician,134640,1.0,13,1,6.0,2,6,1,5,2.0,1.0,3.0,3,3,No
10,11,45,No,Travel_Rarely,Research & Development,17,2,Medical,11,2,Laboratory Technician,79910,0.0,13,2,21.0,2,20,4,10,3.0,4.0,3.0,2,3,No
11,12,36,No,Travel_Rarely,Research & Development,28,1,Life Sciences,12,1,Laboratory Technician,33770,0.0,12,2,16.0,2,15,10,11,,4.0,3.0,3,3,No
12,13,55,No,Travel_Rarely,Research & Development,14,4,Life Sciences,13,1,Sales Executive,55380,0.0,17,0,37.0,2,36,4,13,4.0,1.0,3.0,3,3,No
13,14,47,Yes,Non-Travel,Research & Development,1,1,Medical,14,1,Research Scientist,57620,1.0,11,2,10.0,4,10,9,9,1.0,2.0,2.0,2,3,Yes
14,15,28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,15,1,Manufacturing Director,25920,1.0,14,0,5.0,2,5,0,4,4.0,4.0,2.0,3,3,No
15,16,37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,16,2,Healthcare Representative,53460,4.0,11,0,7.0,2,5,0,1,3.0,4.0,4.0,3,3,No
16,17,21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,17,1,Laboratory Technician,42130,1.0,12,3,3.0,3,3,1,0,4.0,3.0,4.0,2,3,No
17,18,37,No,Non-Travel,Research & Development,1,3,Medical,18,2,Sales Executive,41270,2.0,13,1,15.0,2,5,0,2,1.0,4.0,3.0,3,3,No
18,19,35,No,Travel_Rarely,Sales,7,4,Life Sciences,19,1,Sales Representative,24380,7.0,16,0,10.0,5,7,6,2,2.0,2.0,2.0,2,3,No
19,20,38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,20,1,Manager,68700,1.0,11,1,8.0,5,8,7,7,1.0,1.0,3.0,3,3,No
20,21,26,No,Travel_Frequently,Research & Development,1,4,Other,21,2,Laboratory Technician,104470,1.0,18,0,6.0,3,6,1,4,3.0,2.0,1.0,3,3,No
21,22,50,No,Travel_Rarely,Sales,8,4,Life Sciences,22,1,Research Scientist,96670,3.0,23,0,28.0,2,10,1,6,1.0,2.0,2.0,2,4,No
22,23,53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,23,2,Research Scientist,21480,3.0,11,0,21.0,2,5,1,3,3.0,3.0,2.0,3,3,No
23,24,42,No,Travel_Rarely,Research & Development,4,4,Life Sciences,24,1,Manufacturing Director,89260,1.0,14,0,,4,20,11,6,2.0,3.0,3.0,1,3,No
24,25,29,No,Travel_Frequently,Research & Development,16,4,Medical,25,1,Laboratory Technician,65130,1.0,11,1,10.0,2,10,0,9,2.0,4.0,2.0,3,3,No
25,26,55,No,Travel_Rarely,Research & Development,1,4,Other,26,1,Research Scientist,67990,3.0,11,0,12.0,2,10,0,8,2.0,4.0,3.0,3,3,No
26,27,26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,27,1,Manager,162910,1.0,22,0,5.0,3,5,3,3,1.0,1.0,3.0,3,4,No
27,28,37,No,Travel_Rarely,Sales,5,1,Marketing,28,1,Research Scientist,27050,1.0,11,0,17.0,2,17,5,7,4.0,4.0,3.0,3,3,No
28,29,44,Yes,Travel_Frequently,Research & Development,1,2,Medical,29,2,Research Scientist,103330,3.0,14,1,19.0,2,1,0,0,4.0,3.0,1.0,2,3,Yes
29,30,38,No,Travel_Rarely,Sales,2,3,Marketing,30,1,Manager,44480,9.0,12,0,10.0,3,2,1,2,4.0,4.0,3.0,2,3,No
30,31,26,Yes,Travel_Rarely,Research & Development,4,3,Medical,31,3,Research Scientist,68540,2.0,11,0,5.0,5,3,0,2,1.0,2.0,3.0,2,3,Yes
31,32,28,No,Travel_Rarely,Research & Development,7,3,Other,32,1,Human Resources,96370,1.0,13,0,5.0,6,5,0,2,4.0,4.0,3.0,2,3,No
32,33,49,No,Travel_Frequently,Research & Development,1,1,Medical,33,2,Research Scientist,35910,9.0,13,0,22.0,2,3,1,2,3.0,1.0,3.0,3,3,No
