,EmployeeID,Attrition,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,JobLevel,JobRole,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,AvgWorkedHours,ScheduleInconsistency,Absences
0,1,No,51,Travel_Rarely,Sales,6,2,Life Sciences,1,Healthcare Representative,131160,1.0,11,0,1.0,6,1,0,0,3.0,4.0,2.0,3,3,7.374137931034483,0.28175562109241986,17
1,2,Yes,31,Travel_Frequently,Research & Development,10,1,Life Sciences,1,Research Scientist,41890,0.0,23,1,6.0,3,5,1,4,3.0,2.0,4.0,2,4,7.717725988700565,0.3123329056287913,13
2,3,No,32,Travel_Frequently,Research & Development,17,4,Other,4,Sales Executive,193280,1.0,15,3,5.0,2,5,0,3,2.0,2.0,1.0,3,3,7.013498622589531,0.3109777085482126,7
3,4,No,38,Non-Travel,Research & Development,2,5,Life Sciences,3,Human Resources,83210,3.0,11,3,13.0,5,8,7,5,4.0,4.0,3.0,2,3,7.193475177304965,0.2830849620158781,14
4,5,No,32,Travel_Rarely,Research & Development,10,1,Medical,1,Sales Executive,23420,4.0,12,2,9.0,2,6,0,4,4.0,1.0,3.0,3,3,8.00625850340136,0.3001803181846281,4
5,6,No,46,Travel_Rarely,Research & Development,8,3,Life Sciences,4,Research Director,40710,3.0,13,0,28.0,5,7,7,7,3.0,2.0,2.0,3,3,10.79606188466948,0.30509574391354627,12
6,7,Yes,28,Travel_Rarely,Research & Development,11,2,Medical,2,Sales Executive,58130,2.0,20,1,5.0,2,0,0,0,1.0,3.0,1.0,3,4,6.9230603448275865,0.32364671416873414,17
7,8,No,29,Travel_Rarely,Research & Development,18,3,Life Sciences,2,Sales Executive,31430,2.0,22,3,10.0,2,0,0,0,1.0,2.0,3.0,3,4,6.725514403292181,0.27794751710755283,6
8,9,No,31,Travel_Rarely,Research & Development,1,3,Life Sciences,3,Laboratory Technician,20440,0.0,21,0,10.0,2,9,7,8,2.0,4.0,3.0,3,4,7.236884057971015,0.3108981862436958,19
9,10,No,25,Non-Travel,Research & Development,7,4,Medical,4,Laboratory Technician,134640,1.0,13,1,6.0,2,6,1,5,2.0,1.0,3.0,3,3,7.07962962962963,0.2895875108728258,15
10,11,No,45,Travel_Rarely,Research & Development,17,2,Medical,2,Laboratory Technician,79910,0.0,13,2,21.0,2,20,4,10,3.0,4.0,3.0,2,3,8.403526970954356,0.30820986924549054,8
11,12,No,36,Travel_Rarely,Research & Development,28,1,Life Sciences,1,Laboratory Technician,33770,0.0,12,2,16.0,2,15,10,11,,4.0,3.0,3,3,7.0688105117565705,0.30811412799353605,8
12,13,No,55,Travel_Rarely,Research & Development,14,4,Life Sciences,1,Sales Executive,55380,0.0,17,0,37.0,2,36,4,13,4.0,1.0,3.0,3,3,9.30160116448326,0.28835957605559454,20
13,14,Yes,47,Non-Travel,Research & Development,1,1,Medical,1,Research Scientist,57620,1.0,11,2,10.0,4,10,9,9,1.0,2.0,2.0,2,3,9.399148936170214,0.2916395878697134,14
14,15,No,28,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Manufacturing Director,25920,1.0,14,0,5.0,2,5,0,4,4.0,4.0,2.0,3,3,6.088934993084371,0.2890218474850351,8
15,16,No,37,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Healthcare Representative,53460,4.0,11,0,7.0,2,5,0,1,3.0,4.0,4.0,3,3,6.70506329113924,0.3170608372570265,12
16,17,No,21,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Laboratory Technician,42130,1.0,12,3,3.0,3,3,1,0,4.0,3.0,4.0,2,3,6.619897209985315,0.3129280648503303,22
17,18,No,37,Non-Travel,Research & Development,1,3,Medical,2,Sales Executive,41270,2.0,13,1,15.0,2,5,0,2,1.0,4.0,3.0,3,3,11.014905149051492,0.3098744756219211,3
18,19,No,35,Travel_Rarely,Sales,7,4,Life Sciences,1,Sales Representative,24380,7.0,16,0,10.0,5,7,6,2,2.0,2.0,2.0,2,3,6.9604885057471275,0.31418057815790734,17
19,20,No,38,Travel_Rarely,Research & Development,8,3,Life Sciences,1,Manager,68700,1.0,11,1,8.0,5,8,7,7,1.0,1.0,3.0,3,3,9.292207792207796,0.2964101118676554,18
20,21,No,26,Travel_Frequently,Research & Development,1,4,Other,2,Laboratory Technician,104470,1.0,18,0,6.0,3,6,1,4,3.0,2.0,1.0,3,3,7.590732758620691,0.31663882127975423,17
21,22,No,50,Travel_Rarely,Sales,8,4,Life Sciences,1,Research Scientist,96670,3.0,23,0,28.0,2,10,1,6,1.0,2.0,2.0,2,4,6.008154506437768,0.29283329562592564,16
22,23,No,53,Travel_Rarely,Research & Development,11,4,Life Sciences,2,Research Scientist,21480,3.0,11,0,21.0,2,5,1,3,3.0,3.0,2.0,3,3,8.402514367816092,0.30225786640090724,17
23,24,No,42,Travel_Rarely,Research & Development,4,4,Life Sciences,1,Manufacturing Director,89260,1.0,14,0,,4,20,11,6,2.0,3.0,3.0,1,3,6.806129476584022,0.3141049577232121,7
24,25,No,29,Travel_Frequently,Research & Development,16,4,Medical,1,Laboratory Technician,65130,1.0,11,1,10.0,2,10,0,9,2.0,4.0,2.0,3,3,7.092929292929293,0.32120508763751465,18
25,26,No,55,Travel_Rarely,Research & Development,1,4,Other,1,Research Scientist,67990,3.0,11,0,12.0,2,10,0,8,2.0,4.0,3.0,3,3,9.361203319502076,0.2808410927560379,8
26,27,No,26,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Manager,162910,1.0,22,0,5.0,3,5,3,3,1.0,1.0,3.0,3,4,10.976150627615063,0.2958700124169908,10
27,28,No,37,Travel_Rarely,Sales,5,1,Marketing,1,Research Scientist,27050,1.0,11,0,17.0,2,17,5,7,4.0,4.0,3.0,3,3,7.605155367231638,0.29501192858580494,13
28,29,Yes,44,Travel_Frequently,Research & Development,1,2,Medical,2,Research Scientist,103330,3.0,14,1,19.0,2,1,0,0,4.0,3.0,1.0,2,3,10.977434842249659,0.3102493277811728,6
29,30,No,38,Travel_Rarely,Sales,2,3,Marketing,1,Manager,44480,9.0,12,0,10.0,3,2,1,2,4.0,4.0,3.0,2,3,6.832391304347826,0.28106565932522215,19
30,31,Yes,26,Travel_Rarely,Research & Development,4,3,Medical,3,Research Scientist,68540,2.0,11,0,5.0,5,3,0,2,1.0,2.0,3.0,2,3,10.1093137254902,0.30734221899729974,11
31,32,No,28,Travel_Rarely,Research & Development,7,3,Other,1,Human Resources,96370,1.0,13,0,5.0,6,5,0,2,4.0,4.0,3.0,2,3,6.710330578512397,0.2988096694244325,7
32,33,No,49,Travel_Frequently,Research & Development,1,1,Medical,2,Research Scientist,35910,9.0,13,0,22.0,2,3,1,2,3.0,1.0,3.0,3,3,10.517877492877494,0.2986392154480066,15
33,34,No,36,Travel_Rarely,Sales,5,3,Technical Degree,3,Sales Executive,54050,4.0,14,0,10.0,2,8,7,7,3.0,2.0,3.0,3,3,6.182921810699588,0.277340915426743,6
34,35,No,31,Travel_Frequently,Research & Development,9,4,Medical,1,Sales Executive,46840,1.0,16,1,2.0,4,2,2,2,4.0,2.0,2.0,3,3,6.586527777777777,0.29800102405781453,9
35,36,Yes,26,Travel_Rarely,Research & Development,8,3,Medical,2,Manager,157870,1.0,12,2,8.0,5,8,7,4,4.0,4.0,3.0,3,3,10.27169540229885,0.30259272214662164,17
36,37,No,37,Travel_Frequently,Sales,9,1,Marketing,1,Laboratory Technician,15140,1.0,14,0,4.0,3,4,1,2,2.0,4.0,2.0,3,3,9.981955922865014,0.2848411247990102,7
37,38,No,42,Travel_Frequently,Sales,2,2,Marketing,3,Research Director,29560,5.0,13,0,23.0,2,20,4,8,3.0,2.0,4.0,3,3,5.979782608695651,0.29705186047807297,19
38,39,Yes,18,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Sales Executive,23350,1.0,14,2,0.0,3,0,0,0,3.0,3.0,3.0,2,3,6.775770925110132,0.291543952194452,22
39,40,No,35,Travel_Rarely,Sales,20,2,Life Sciences,1,Laboratory Technician,51540,0.0,19,0,12.0,2,11,6,9,3.0,2.0,2.0,2,3,7.690027894002789,0.30497471397294973,10
40,41,No,36,Travel_Frequently,Research & Development,8,3,Other,3,Sales Executive,69620,4.0,12,2,4.0,2,1,0,0,3.0,,3.0,2,3,7.205601092896174,0.28350694340158794,5
41,42,No,51,Travel_Rarely,Research & Development,2,3,Life Sciences,2,Laboratory Technician,56750,5.0,13,0,13.0,2,4,1,2,4.0,2.0,3.0,2,3,7.594468085106383,0.3049514758871355,14
42,43,No,41,Travel_Rarely,Research & Development,29,1,Life Sciences,1,Laboratory Technician,23790,1.0,12,0,22.0,6,22,0,4,4.0,2.0,3.0,3,3,6.952617079889807,0.31719188186250985,7
